LAT, LON, Covernum, Covername, City fraction, Vegetation fraction, Inland water fraction, sea fraction
53.0431, -8.2375, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
53.0411, -8.24139, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0378, -8.24389, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0347, -8.24639, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
53.0317, -8.24861, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
53.0275, -8.25, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
53.0228, -8.25028, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
53.0186, -8.24972, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.015, -8.25139, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0125, -8.25472, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
53.0103, -8.25861, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
53.0086, -8.26306, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0067, -8.26806, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.005, -8.27278, 330, TEMP SW HERBAC CF1, 0.01, 0.98, 0.01, 0.0
53.0039, -8.27806, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
53.0022, -8.28278, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
53.0, -8.28667, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.9975, -8.28472, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.9953, -8.28111, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9914, -8.27944, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9883, -8.28194, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9847, -8.2825, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9819, -8.27944, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9792, -8.27667, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.9767, -8.27278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9744, -8.26917, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.9714, -8.26639, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.9692, -8.26278, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.9658, -8.26222, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9622, -8.26472, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.9592, -8.26722, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.9558, -8.265, 325, TEMP HERBACEOUS CF1, 0.01, 0.99, 0.0, 0.0
52.9522, -8.26528, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.95, -8.26917, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9478, -8.27306, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9453, -8.27667, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9411, -8.27611, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9383, -8.27306, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9358, -8.26944, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9336, -8.26583, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9311, -8.26222, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9289, -8.25861, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9269, -8.26306, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.9272, -8.27083, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.9264, -8.27694, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9242, -8.28111, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9225, -8.28556, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9217, -8.29167, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.9206, -8.29722, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9189, -8.30167, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9153, -8.30333, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9128, -8.29972, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.9103, -8.29611, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9081, -8.2925, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9061, -8.28806, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9033, -8.285, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8994, -8.28389, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8958, -8.28556, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8942, -8.29028, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8933, -8.29667, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8944, -8.3025, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8956, -8.30861, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8969, -8.31361, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8978, -8.32056, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8983, -8.32722, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8989, -8.33417, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.8994, -8.34083, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9006, -8.34694, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9008, -8.35444, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9006, -8.36139, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.9003, -8.36806, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8997, -8.375, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8981, -8.37972, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8956, -8.38278, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8919, -8.38472, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8886, -8.38722, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.885, -8.38583, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8817, -8.38389, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8775, -8.38333, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.875, -8.38639, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8728, -8.39028, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8706, -8.39417, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8678, -8.3975, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8656, -8.40139, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8631, -8.40444, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.8603, -8.40778, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8572, -8.41028, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8539, -8.41278, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8508, -8.41528, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8478, -8.41778, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.845, -8.42083, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8419, -8.42333, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8383, -8.425, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8336, -8.42528, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.83, -8.42694, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8269, -8.42972, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8236, -8.43222, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8211, -8.43528, 364, N ATLANTIC PASTURES1, 0.0, 1.0, 0.0, 0.0
52.8183, -8.43833, 561, TEMPERATE SUBURBAN1, 0.56, 0.44, 0.0, 0.0
52.8167, -8.44306, 561, TEMPERATE SUBURBAN1, 0.56, 0.44, 0.0, 0.0
52.8186, -8.44611, 362, ATLANTIC COMPLEX3, 0.01, 0.98, 0.01, 0.0
52.8219, -8.44806, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.825, -8.45028, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.8278, -8.45306, 363, ATLANTIC COMPLEX4, 0.02, 0.98, 0.0, 0.0
52.8306, -8.45583, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8336, -8.45861, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8367, -8.46083, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.84, -8.46278, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
52.8436, -8.46417, 2, Inland waters, 0.0, 0.0, 1.0, 0.0
